pos,4,39,40,12,27,31,36,35,29,28,11,26,32,24,37,8,30,38,20,7,1,41,15,25,0,34,3,16,5,17,18,33,10,6,23,19,13,14,2,9,21,22
1,sales*,glyph*,sensemaking*,display*,questions*,university*,computer*,scatterplot*,analysis,data*,g*,proceedings*,techniques*,web*,interactions,ieee,entities,visualization*,clustering,tvcg*,2009*,dimensional,sense*,section*,2005*,process,10*,items,ﬁrst,used*,high,tasks*,d*,example*,features*,each*,that*,they*,1,is*,to,their*
2,revenue*,pixel*,semantic*,feature*,comments*,tuition*,mouse*,analytic*,study*,dataset*,k*,topic*,methods,site,level,var,group,layout,clusters*,pascucci,2010,subspace*,terms*,pages*,2006*,approach*,12*,labels*,speciﬁc*,selected,different,task*,e*,result*,list*,three*,as,there*,2,are,on,all*
3,rainfall*,ray*,spatial*,attribute*,question*,schools,screen,statistical*,observations*,datasets*,x*,papers*,systems,tripadvisornd*,relationship,mds*,groups*,graphics,cluster*,gtm,2011*,matrix*,metaphor,link,2003*,action*,11*,record,scientiﬁc*,shown,large*,position,m,decade,lists*,first*,which,she*,3*,be,by*,both*
4,rain*,pixels*,foraging*,mask*,comment*,college*,tabletop,scatterplots,results,samples,h*,conference,tools,google*,interest*,acm*,participants,text,fig,eurographics,2014*,axis,means,links*,2008*,decision*,13*,label*,ﬁnd*,shared,new,assignment*,b*,say*,names*,final*,when,now*,4*,can,from,most*
5,income*,,affordances*,masking*,answers,athletic*,browser,intelligence,survey*,subsets*,y,symposium*,models,url,importance*,pca*,entity,visualizations*,nodes*,dimen*,2013,subspaces,term,editor,2007*,scenario,48,labeling*,identiﬁed,reported*,related,responsibility*,v,week*,,,how*,,5,not,into*,those
6,,,,,,athletics*,button*,correlation,observation,metadata*,q*,discussion,approaches,yahoo*,quality,proc,people,visualizing*,node*,hce,2015,metric,meaning*,page*,,incident,09*,updating,ﬁelds*,left,multi,,w*,,,,if*,,6,have*,between,
7,,,,,,,slider,analytical,findings*,,,,scenarios,,collaboration,mueller,members*,annotation*,leaf,maljovec,201x*,multidimensional,meanings,sites,,situation*,,bins,ﬁve,located,relevant,,,,,,what*,,7,also,through,
8,,,,,,,clicking,regression*,sampling,,,,challenges,,emphasis*,s4,organization,textual,,rundensteiner*,,vector*,phrase*,talk,,,,tags*,,designed,low,,,,,,since,,9,was,within*,
9,,,,,,,car,correlations,surveys*,,,,solutions*,,awareness*,aco,individuals,animation,,reeb,,vectors,,,,,,,,highlighted,oriented,,,,,,conversely,,8*,has*,via*,
10,,,,,,,windows,probabilistic,,,,,technologies*,,range,t4,terrorist*,rendering,,andrienko*,,matrices*,,,,,,,,asked,parallel,,,,,,,,0*,were,neighboring,
11,,,,,,,phone,bivariate*,,,,,advances*,,sensitivity,t1,teams,sualization,,,,,,,,,,,,separated,complex,,,,,,,,89,may,,
12,,,,,,,toolbar,,,,,,pipelines,,status*,vd,organizations*,,,,,,,,,,,,,obtained*,interesting*,,,,,,,,129,will*,,
13,,,,,,,keyboards,,,,,,,,influence,exp,,,,,,,,,,,,,,seeking,specific,,,,,,,,838,had,,
14,,,,,,,typing*,,,,,,,,,sploms,,,,,,,,,,,,,,conducted,vast,,,,,,,,,might,,
15,,,,,,,pad*,,,,,,,,,r1*,,,,,,,,,,,,,,assigned,latent,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,published*,difficult*,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defined,overlaps,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aligned,significant*,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,permitted,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sat,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unoccupied,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
