,C,count,sigma_nor,vocab_index,word,vector,topic,exemplar,word*,pos,x2D,y2D
0,16.75935106076575,865,1.5635436165367949,0,clustering,"[2.8808656  3.2603354  6.7343616  2.7721157  3.09435    1.0092818
 1.3815284  2.285229   1.4193549  0.39863777]",4,*,clustering*,1,3.7146224975585938,1.1842305660247803
1,38.05168683055865,830,2.308039259710568,1,dimension,"[2.462176   2.3000956  5.7189965  2.6507244  3.9415784  1.5240129
 0.67619014 2.3474207  0.8918573  0.7715326 ]",5,*,dimension*,1,3.0113742351531982,-2.298517942428589
2,23.540447907253547,750,1.8498056339111122,2,reduction,"[2.99566    2.3779008  5.742292   2.3967807  2.946409   1.2840183
 0.1937516  2.0622358  0.2467603  0.17140424]",-1,,reduction,1,1.378267765045166,-10.657251358032227
3,22.854716585315625,630,1.8986166922333905,3,algorithms,"[2.8013682 2.8354888 6.5868583 2.4312344 3.2817261 1.1920638 1.2455058
 2.0808115 1.3651441 0.721238 ]",4,,algorithms,2,3.2893145084381104,0.564922034740448
4,24.88119261289304,580,2.01891151472531,4,clusters,"[2.9962506  3.1357548  6.8391137  2.8991046  3.064823   1.0954472
 1.422694   2.275926   1.5572107  0.24284238]",4,*,clusters*,3,3.9321908950805664,1.3953254222869873
5,32.955423376583106,540,2.3984153076246177,5,algorithm,"[2.9665456  3.0893023  6.676038   2.6355984  3.1408708  1.2134435
 1.1937551  2.0751565  1.3695247  0.42408976]",4,*,algorithm*,4,3.6442337036132812,1.0557312965393066
6,31.27783913235811,455,2.442707853821495,7,cluster,"[2.9769003  3.1488984  6.7567134  2.8795302  3.017561   1.0592107
 1.304263   2.3368025  1.5119898  0.22079511]",4,*,cluster*,5,3.8482131958007812,1.3319838047027588
7,23.035578130162527,355,2.1974473026864705,8,visualization,"[2.9393103  3.1637526  6.489318   2.4513795  3.2796206  1.1660851
 1.1312096  2.334653   0.99856675 0.8451038 ]",-1,,visualization,2,2.9543063640594482,0.3947471082210541
8,35.424895609061274,340,2.882649936747729,9,observations,"[2.3025982  2.4639928  6.4383636  1.6970451  3.136388   0.83524466
 0.73609006 2.3554888  1.0696704  1.066564  ]",6,,observations,1,1.2326810359954834,-1.4699652194976807
9,8.686822800647127,335,1.4616077517214001,10,dimensional,"[2.603199   2.385558   5.858296   2.6658494  3.8392215  1.4951727
 0.94271654 2.304719   0.905354   0.7635441 ]",5,*,dimensional*,2,3.1369545459747314,-1.86106538772583
10,63.45688388666306,330,4.424993185132938,11,10,"[ 3.5727441   2.0276403   5.1657925   2.746446    2.393443    1.698632
 -1.2109463   1.6338733  -0.06076174 -1.1356922 ]",-1,,10,3,-13.261289596557617,0.9791597723960876
11,84.31406530095197,315,5.655748514223771,12,doi,"[ 3.5388005   2.560504    5.7496653   3.5989573   2.087323    1.0192229
 -0.80178404  1.160917    0.4374965  -1.6819961 ]",-1,,doi,4,-12.072955131530762,2.499058485031128
12,8.759207555241767,275,1.511529714623064,13,projection,"[2.8371236  2.8601475  6.122433   2.1286962  3.4264016  1.4019151
 0.70294666 2.5076737  0.5587381  1.0239669 ]",-1,,projection,5,2.5054376125335693,-0.8067675828933716
13,14.009512387393015,270,1.8286369563939955,14,interaction,"[2.3066165  2.3523953  6.061031   1.8009722  3.316519   0.90350693
 0.6002406  2.2222075  0.78831816 1.1368227 ]",6,*,interaction*,2,1.3930007219314575,-1.2448371648788452
14,18.512667390517358,255,2.1271619572037483,15,k,"[ 3.4006646   2.541949    5.561057    3.0401533   1.7403126   1.0949858
 -1.6242468   0.69274056  0.368137   -1.9394149 ]",1,,k,1,-11.489890098571777,2.007504463195801
15,43.21674894162432,220,3.8320505909443354,18,j,"[ 3.5416691   2.412354    5.3598695   3.1275764   1.7220845   1.2467427
 -1.636459    0.8214491   0.28232983 -2.054639  ]",1,,j,2,-11.614031791687012,2.0915942192077637
16,12.639197838471684,215,1.832469440536295,19,space,"[2.4999356  2.419501   5.854371   2.4049356  3.796084   1.5320376
 0.55849504 2.226893   0.845011   0.84483826]",5,*,space*,3,2.9475343227386475,-2.15514874458313
