pos,4,0,2,3,1
1,papers,shown*,scenarios*,ieee,different*
2,visualization*,found*,model,conf,high
3,visual,frequently,interactions,keim*,vast*
4,computer,appear*,methods*,university,ﬁltering
5,analytics*,appeared*,points,starspire,initial*
6,graphics*,offers,models*,sedlmair*,upper*
7,algorithms,checked*,parameters,daniel,
8,paper,,table,deﬁning,
9,literature,,framework,konstanz,
10,dimensionality*,,elements*,chang,
11,coding,,items*,wang,
12,semantic,,criteria,bremer*,
13,annotation,,point,pascucci*,
14,science,,paradigms,,
15,visualizations,,occurrences,,
16,labeling,,,,
17,document,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
