pos,12,21,25,10,24,3,1,11,2,16,18,7,13,27,0,20,9,15,26,5,4,19,8,17,22,23,6,14
1,visual*,terms*,users*,algorithms*,document,clustering*,endert*,correlation*,york,analysis,relevance,high,found*,systems*,speciﬁc*,computer,represents*,directed*,tools*,image*,example,number,search*,information,interactions*,task*,display,created*
2,spatial*,term*,participants*,algorithm*,conference*,clusters*,starspire,regression*,andromeda*,results,importance*,large*,retrieved*,framework,ﬁrst,machine*,refers*,supervised*,methods*,spring*,result*,scale*,keywords*,feedback*,actions*,challenge*,allow,performed
3,interactive*,constraints,topic,computation*,proceedings*,cluster*,diﬀerent*,variance*,sacha*,reasoning,quality*,relevant,discussed*,components*,ﬁnal*,science,involves*,spent*,techniques*,frame*,case*,weight*,query*,knowledge,relationships*,initiative*,represent,incorporated*
4,computational,requirements*,groups,optimization*,forum*,nodes,keim*,inversion*,sirius*,study,overall,similar,captured,scheme*,deﬁned*,state,discusses*,continued*,processes*,slider*,updates,size*,keyword,input,movements*,responsibility*,interact,introduced*
5,immersive*,conditions*,participant,computations*,symposium*,dots,tvcg,,atlanta*,observations*,accuracy*,multiple*,pointed*,frameworks*,signiﬁcant*,technology*,,,approaches*,,update,complexity*,queries*,insight*,,,read,passed*
6,statistical,metaphors*,people*,timestep,panels,node,turkay*,,hauser,observation,precision,different*,,paradigm,difﬁcult,university,,,stages,,note*,score,,steering*,,,discuss*,
7,mathematical,considerations*,authors,preprocessing,papers,biclusters*,sedlmair*,,,synthesis,relevancy,important,,,,literature,,,,,post,,,intelligence,,,gather*,
8,expressive*,,individuals*,,docu*,bicluster,,,,investigation,usefulness*,support,,,,magnet,,,,,accordingly,,,guidance*,,,identify*,
9,numerical,,chapter,,,,,,,hypotheses*,,vast,,,,revolution,,,,,notice*,,,,,,produce,
10,textual*,,pages,,,,,,,evaluation,,direct,,,,engineering*,,,,,,,,,,,scatter,
11,mental,,author,,,,,,,findings*,,underlying,,,,media*,,,,,,,,,,,recall*,
12,probabilistic,,,,,,,,,recommendation*,,multi,,,,city,,,,,,,,,,,reflect,
13,storytelling,,,,,,,,,experiments,,complex,,,,neighborhood,,,,,,,,,,,coordinate,
14,deterministic,,,,,,,,,,,speculative,,,,market,,,,,,,,,,,turn,
15,geographic,,,,,,,,,,,existing,,,,wine,,,,,,,,,,,,
16,topographic,,,,,,,,,,,international,,,,animal,,,,,,,,,,,,
17,,,,,,,,,,,,forward,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,specific*,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,corresponding,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,original,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,alternative,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,implicit,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,soft,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,latent,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,limited,,,,,,,,,,,,,,,,
