,C,count,sigma_nor,vocab_index,word,threshold,vector,topic,exemplar,word*,pos,x2D,y2D
0,27.29192690367369,1156,1.9012582178787487,0,data,4.710945251673152,"[  1.2711688   -3.2248232   -3.2972488    1.3780329    0.90433437
  -6.263123    -1.1713073  -10.388773    -1.6271107   -2.821736  ]",-1,,data,1,-1.7695140838623047,5.031437397003174
1,52.546107069377285,1043,2.7215875927416184,1,user,4.710945251673152,"[  1.2108903  -2.6960034  -3.9130728   1.3255969   1.2884623  -6.763785
  -0.7734076 -10.596767   -0.694339   -2.4895215]",-1,,user,2,3.2749991416931152,11.96356201171875
2,41.26210034636101,934,2.4447420517388836,2,model,4.710945251673152,"[  1.024715   -2.5683298  -2.9949946   1.6818185   1.2597016  -6.779254
  -1.0305198 -10.042203   -1.2410188  -3.432669 ]",-1,,model,3,0.5194870829582214,10.989768981933594
3,71.27243924046465,852,3.5294510463101383,3,documents,4.710945251673152,"[  1.0185801  -2.8843198  -3.5894656   1.4040692   1.3684952  -6.3021607
  -1.0048406 -10.448893   -0.9695946  -2.1681585]",-1,,documents,4,3.2349302768707275,12.920055389404297
4,18.7832410572861,841,1.7450437718348921,4,interaction,4.710945251673152,"[  0.7472271  -2.1736214  -3.8597457   1.2201617   0.5131401  -6.3467426
  -1.1771958 -10.175416   -1.4931486  -2.7069085]",-1,,interaction,5,0.2211124300956726,7.380471706390381
5,19.839792762440478,823,1.7885300535189377,5,visual,4.710945251673152,"[  1.9565377   -3.062622    -3.1555972    1.4772787    0.20126861
  -6.4322104   -2.2051506  -10.511569    -1.6045028   -3.4074168 ]",12,*,visual*,1,-1.0570096969604492,2.1384389400482178
6,44.89411260559544,634,2.8694610668332694,6,users,4.710945251673152,"[  0.87334716  -2.5905683   -4.08833      1.3000427    1.5825658
  -6.7775416   -0.88666874 -10.621565    -0.5374179   -2.2838862 ]",25,*,users*,1,3.28621506690979,11.79116439819336
7,29.205026645816698,613,2.270311969819867,7,visualization,4.710945251673152,"[  1.6821511  -3.1394033  -3.0192797   1.5011424   0.611717   -6.3885407
  -1.6891503 -10.602926   -1.8192657  -3.26969  ]",-1,,visualization,6,-1.4880495071411133,3.514800786972046
8,13.3352245845566,581,1.6486121242658351,8,information,4.710945251673152,"[  0.6447839  -3.041302   -3.7695837   1.1181864   0.5318003  -6.2508144
  -1.5430932 -10.37437    -1.5998336  -2.4561923]",17,,information,1,-0.2366185337305069,6.783334255218506
9,32.49795126959497,577,2.4413129334251225,9,analytics,4.710945251673152,"[  1.589226   -3.3153288  -3.0257494   1.4494827   0.6182844  -6.2453647
  -1.5470558 -10.517381   -1.9263103  -3.1646204]",-1,,analytics,7,-1.5073223114013672,3.665489673614502
10,41.47101141554667,503,2.9302229193227154,10,semantic,4.710945251673152,"[  2.0592117   -3.3526356   -3.0579977    1.377056     0.17988163
  -6.1950994   -1.985552   -10.383774    -1.7574819   -3.4342003 ]",-1,,semantic,8,-1.0982763767242432,2.5898361206054688
11,32.576492949863834,488,2.5589720547166306,11,models,4.710945251673152,"[  0.8662322  -2.5754294  -3.0980198   1.6954341   1.4765563  -6.6258936
  -0.9923637 -10.092248   -1.3225139  -3.334123 ]",-1,,models,9,0.38021379709243774,10.986940383911133
12,22.684126822619646,452,2.154323148985548,12,interactions,4.710945251673152,"[  0.61764085  -2.087299    -3.8250098    1.3358775    0.9768212
  -6.3753076   -1.0262221  -10.148974    -1.3468003   -2.7336142 ]",22,*,interactions*,1,1.9524612426757812,10.027861595153809
13,14.342017249359575,429,1.7833958520835689,13,analysis,4.710945251673152,"[  1.0315709   -2.9008844   -3.2163205    1.4514545    0.48636383
  -6.0797887   -1.5792938  -10.299603    -1.887644    -2.6967418 ]",16,,analysis,1,-1.4210351705551147,6.07344913482666
14,42.907148083029426,394,3.232398215163292,14,document,4.710945251673152,"[  1.2202914   -2.8033438   -3.535447     1.412103     1.1839057
  -6.315089    -1.1851676  -10.37387     -0.77430713  -2.0574105 ]",24,,document,1,3.41707706451416,13.02874755859375
15,12.220129514157613,366,1.728400154141025,15,process,4.710945251673152,"[  0.44182032  -2.5895665   -3.3922389    1.3539068    1.3800162
  -6.4976964   -1.0877414  -10.146314    -1.5282276   -3.195456  ]",-1,,process,10,-0.2116534411907196,11.114386558532715
16,14.678159479404504,365,1.8560751734735546,16,system,4.710945251673152,"[  0.7260087  -2.6296558  -3.3921144   1.3103563   1.4195656  -6.9098434
  -1.0203668 -10.127938   -1.0892369  -3.408104 ]",-1,,system,11,0.2069886326789856,10.55124568939209
17,53.53173523541176,325,4.020555714109877,17,ieee,4.710945251673152,"[  2.7861307   -3.3754444   -3.1123357    1.0099285    0.72908455
  -6.062054    -1.0880312  -10.925469    -1.1595788   -2.3675592 ]",-1,,ieee,12,-29.90009117126465,-2.9763636589050293
18,26.18868545432922,300,2.5838425084523466,18,spatial,4.710945251673152,"[  2.009568    -3.2706776   -3.1903226    1.3494774    0.14237173
  -6.3044944   -2.0206292  -10.241056    -1.5876572   -3.5403962 ]",12,*,spatial*,2,-0.9643418788909912,2.4683678150177
19,29.215746268718686,280,2.811371392659971,20,layout,4.710945251673152,"[  1.5289735  -2.718394   -3.4935508   1.3358572   0.5622433  -6.8191423
  -1.4626478 -10.348922   -1.0616108  -3.2103086]",-1,,layout,13,-0.4228557348251343,8.492830276489258
20,21.294867502712833,273,2.361864053575489,21,learning,4.710945251673152,"[  1.0565515   -2.9841576   -3.6184165    1.110616     0.50550634
  -6.473304    -2.1582954  -10.695007    -1.6664602   -3.0003965 ]",-1,,learning,14,-1.466549277305603,7.215945243835449
