pos,6,0,1,3,10,2,15,5,13,16,14,12,9,4,11,7,8
1,user,10*,e*,terms*,scale*,starspire,models,search*,learning*,conference*,visual,shown,layout,example*,display*,algorithms*,relevant
2,users*,1109,classiã*,term*,weights*,cation*,process,foraging,training*,proceedings,information,found*,figure*,result,highlighting,dataset,large
3,participants*,12*,deã*,metaphor*,weight*,sif,systems,retrieval*,automated*,science,visualization,retrieved,domain,view,allow,algorithm*,multi
4,analysts,14*,ed*,phrase*,overall*,signiã,techniques*,keyword*,unsupervised*,technology,semantic,added,frame*,case*,read,nodes*,multiple*
5,userã,13*,reã,meaning*,weighted*,tion*,parameters,searches*,,paper*,analytics,displayed,location*,note*,recall*,node,north
6,authors*,11*,com*,,,speciã*,tasks,queries,,symposium*,analysis,performed*,range,contrast*,highlight*,encodings,vast*
7,people*,blue,ort,,,tions,applications,searching*,,literature,spatial*,described,image*,,describe,computation*,similar
8,participant,1,,,,nal*,tools,,,university,graphics,discussed,target,,modify,,underlying
9,articles*,1145,,,,identiã,factors,,,media,sensemaking,called*,,,select*,,integrating
10,seconds,2013,,,,inter,approaches*,,,press*,analytic,proposed,,,generally,,additional*
11,,5,,,,bradel,strategies*,,,animal,clustering,contained*,,,begin,,integrated
12,,,,,,turkay,frameworks*,,,,dimensional,represented,,,,,increases
13,,,,,,cantly,stages,,,,reasoning,foraged,,,,,active
14,,,,,,hauser,structures*,,,,analytical,captured,,,,,central
15,,,,,,szsã,opportunities,,,,statistical,began,,,,,unique*
16,,,,,,,preferences,,,,spatialization,proved,,,,,combining
17,,,,,,,perspectives,,,,dimension,closed,,,,,exotic
18,,,,,,,market,,,,dimensionality,pinned,,,,,
19,,,,,,,steps,,,,precision,,,,,,
20,,,,,,,controls,,,,textual*,,,,,,
21,,,,,,,,,,,regression,,,,,,
22,,,,,,,,,,,mathematical*,,,,,,
23,,,,,,,,,,,vector,,,,,,
24,,,,,,,,,,,quantitative*,,,,,,
25,,,,,,,,,,,,,,,,,
